user_id,id,size,likes,date,link,group
donnajoy_artoz,1,11.505149978319906,1,2015-11-03 04:22:33,https://instagram.com/p/9m-3j3m4EZ/,high
realtorshameeka,2,18.779374278362454,56,2015-11-03 02:35:32,https://instagram.com/p/9mynsDjVh4/,low
blur_revision,3,18.96195844749127,61,2015-11-03 00:44:26,https://instagram.com/p/9ml59xsaag/,medium
prtymp,4,11.505149978319906,1,2015-11-03 00:16:08,https://instagram.com/p/9miqsBjAh3/,medium
marci__beaucoup,5,13.494850021680094,4,2015-11-02 20:10:29,https://instagram.com/p/9mGjfaJ7Oq/,medium
margaret.haag,6,16.901056208558032,23,2015-11-02 19:01:44,https://instagram.com/p/9l-sCGqNmY/,medium
amy8969,7,12.385606273598313,2,2015-11-02 18:03:35,https://instagram.com/p/9l4CGzI26L/,high
amy8969,8,15.395906230238124,11,2015-11-02 17:57:40,https://instagram.com/p/9l3WuUI24x/,medium
rivierapoint,9,15.0,9,2015-11-02 17:31:12,https://instagram.com/p/9l0U3LmSCY/,high
olivertheoes,10,17.07486673985409,25,2015-11-02 16:06:38,https://instagram.com/p/9lqpjlESSx/,high
soccercvr,11,19.3753063169585,74,2015-11-02 15:58:15,https://instagram.com/p/9lpsJVPSHy/,medium
iconstudiosdallas,12,16.505149978319906,19,2015-11-01 02:18:56,https://instagram.com/p/9hnIZYNHOD/,high
iconstudiosdallas,13,15.395906230238124,11,2015-11-01 02:17:59,https://instagram.com/p/9hnBaFNHNk/,high
iconstudiosdallas,14,15.395906230238124,11,2015-11-01 02:13:40,https://instagram.com/p/9hmhy4tHMi/,high
aznmatt301,15,14.771212547196624,8,2015-11-01 01:16:02,https://instagram.com/p/9hf7rINLG_/,high
vonteethelion,16,19.064566783214275,64,2015-11-01 00:55:01,https://instagram.com/p/9hdhwJNtK6/,medium
crazyclance,17,13.494850021680094,4,2015-10-31 22:30:02,https://instagram.com/p/9hM73sgUSM/,high
kathryncacci,18,15.206963425791125,10,2015-10-31 20:46:25,https://instagram.com/p/9hBE--CMxB/,medium
jeremyjoelgonzalez,19,17.156818820794935,26,2015-10-31 20:06:02,https://instagram.com/p/9g8dK6rQni/,medium
alwaysawin,20,12.385606273598313,2,2015-10-31 18:47:16,https://instagram.com/p/9gzcQRSBxBVdoUkDlM5X2m3ee3k-cl2RJ6BMM0/,medium
